,open,close,high,low,total_turnover,volume
2009-12-10 13:46:00,4.2226,4.2226,4.2281,4.2171,3724700.0,694080.0
2009-12-10 13:47:00,4.2226,4.2281,4.2281,4.2171,2218671.0,413493.0
2009-12-10 13:48:00,4.2226,4.2281,4.2281,4.2226,1931717.0,359712.0
2009-12-10 13:49:00,4.2226,4.2226,4.2281,4.2171,3246004.0,604800.0
2009-12-10 13:50:00,4.2226,4.2171,4.2226,4.2171,2115750.0,394416.0
2009-12-10 13:51:00,4.2226,4.2226,4.2281,4.2171,1244246.0,231840.0
2009-12-10 13:52:00,4.2171,4.2226,4.2226,4.2171,1382478.0,257731.0
2009-12-10 13:53:00,4.2171,4.2226,4.2335,4.2171,5432548.0,1011470.0
2009-12-10 13:54:00,4.2281,4.2281,4.2335,4.2226,3825340.0,711504.0
2009-12-10 13:55:00,4.2281,4.2226,4.2281,4.2226,2616457.0,486936.0
2009-12-10 13:56:00,4.2281,4.2281,4.2281,4.2226,2275248.0,423360.0
2009-12-10 13:57:00,4.2281,4.2281,4.2335,4.2226,2153777.0,400746.0
2009-12-10 13:58:00,4.2226,4.2281,4.2335,4.2226,1410481.0,262368.0
2009-12-10 13:59:00,4.2281,4.2281,4.2335,4.2281,1342648.0,249840.0
2009-12-10 14:00:00,4.2281,4.2281,4.2335,4.2281,805932.0,149904.0
2009-12-10 14:01:00,4.2281,4.2281,4.2335,4.2281,1752454.0,325872.0
2009-12-10 14:02:00,4.2281,4.2335,4.2335,4.2281,2007599.0,373212.0
2009-12-10 14:03:00,4.2335,4.239,4.239,4.2281,5063323.0,940804.0
2009-12-10 14:04:00,4.239,4.239,4.239,4.2335,4564737.0,847339.0
2009-12-10 14:05:00,4.2335,4.2445,4.2445,4.2335,5009137.0,930110.0
2009-12-10 14:06:00,4.239,4.2445,4.2445,4.239,2895844.0,537162.0
2009-12-10 14:07:00,4.2445,4.2445,4.2445,4.239,3502377.0,649452.0
2009-12-10 14:08:00,4.2445,4.2445,4.2445,4.239,3111130.0,576691.0
2009-12-10 14:09:00,4.2445,4.2445,4.2445,4.239,1308338.0,242634.0
2009-12-10 14:10:00,4.239,4.239,4.2445,4.239,1778364.0,329862.0
2009-12-10 14:11:00,4.239,4.2445,4.2445,4.239,994676.0,184464.0
2009-12-10 14:12:00,4.2445,4.2445,4.2445,4.239,1905406.0,353233.0
2009-12-10 14:13:00,4.2445,4.2445,4.2445,4.239,2548174.0,472464.0
2009-12-10 14:14:00,4.2445,4.2445,4.2445,4.239,4688551.0,869357.0
2009-12-10 14:15:00,4.2445,4.2499,4.2499,4.239,5563894.0,1031714.0
2009-12-10 14:16:00,4.2499,4.2499,4.2499,4.2445,3307889.0,612647.0
2009-12-10 14:17:00,4.2499,4.2445,4.2499,4.2445,3548396.0,657360.0
2009-12-10 14:18:00,4.2445,4.239,4.2445,4.239,5813046.0,1077938.0
2009-12-10 14:19:00,4.239,4.2335,4.239,4.2335,644560.0,119664.0
2009-12-10 14:20:00,4.2335,4.239,4.239,4.2335,2001528.0,371736.0
2009-12-10 14:21:00,4.2335,4.239,4.239,4.2335,1658573.0,307872.0
2009-12-10 14:22:00,4.239,4.239,4.239,4.2335,846588.0,157219.0
2009-12-10 14:23:00,4.239,4.2335,4.239,4.2335,2231871.0,414475.0
2009-12-10 14:24:00,4.239,4.239,4.239,4.2335,1365763.0,253519.0
2009-12-10 14:25:00,4.239,4.2335,4.239,4.2335,14262110.0,2649771.0
2009-12-10 14:26:00,4.2335,4.2335,4.2335,4.2281,1624703.0,302112.0
2009-12-10 14:27:00,4.2281,4.2226,4.2335,4.2226,7967541.0,1482516.0
2009-12-10 14:28:00,4.2281,4.2281,4.2281,4.2226,2956288.0,550433.0
2009-12-10 14:29:00,4.2281,4.2226,4.2281,4.2226,7366391.0,1371725.0
2009-12-10 14:30:00,4.2226,4.2226,4.2281,4.2226,1145481.0,213317.0
2009-12-10 14:31:00,4.2281,4.2281,4.2335,4.2281,4264239.0,793073.0
2009-12-10 14:32:00,4.2281,4.2335,4.2335,4.2281,3464067.0,644112.0
2009-12-10 14:33:00,4.2335,4.2281,4.2335,4.2281,3222202.0,599069.0
2009-12-10 14:34:00,4.2335,4.2335,4.2335,4.2281,1536042.0,285680.0
2009-12-10 14:35:00,4.2281,4.2335,4.2335,4.2281,1937386.0,360298.0
2009-12-10 14:36:00,4.2281,4.2335,4.2335,4.2281,3578170.0,665136.0
2009-12-10 14:37:00,4.2335,4.2335,4.2335,4.2281,1914415.0,355743.0
2009-12-10 14:38:00,4.2335,4.2335,4.239,4.2335,2534352.0,470419.0
2009-12-10 14:39:00,4.239,4.239,4.239,4.2335,5328053.0,989014.0
